method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model,Unnamed: 0
STGCN,0.5,rand,4,2,linear,50,0.9695810675621032,194.37088584899905,LRGCN,
STGCN,0.7,rand,4,2,linear,50,0.99419903755188,107.52706742286682,LRGCN,
STGCN,0.8,rand,4,2,linear,50,0.9872866868972778,228.6057243347168,LRGCN,
IT-STGCN,0.3,rand,4,2,linear,50,0.9723823070526124,399.8463726043701,LRGCN,
IT-STGCN,0.5,rand,4,2,linear,50,1.003805160522461,343.68451023101807,LRGCN,
IT-STGCN,0.7,rand,4,2,linear,50,0.986579418182373,382.695648431778,LRGCN,
IT-STGCN,0.8,rand,4,2,linear,50,0.9708805084228516,342.5295069217682,LRGCN,
STGCN,0.3,rand,4,2,linear,50,1.0168979167938232,228.2716040611267,LRGCN,
STGCN,0.5,rand,4,2,linear,50,1.019629955291748,142.68077492713928,LRGCN,
STGCN,0.7,rand,4,2,linear,50,0.9721753001213074,128.41310214996338,LRGCN,
STGCN,0.8,rand,4,2,linear,50,0.9900579452514648,235.1539032459259,LRGCN,
IT-STGCN,0.3,rand,4,2,linear,50,0.963468611240387,349.04869270324707,LRGCN,
IT-STGCN,0.5,rand,4,2,linear,50,0.9743793606758118,380.3628671169281,LRGCN,
IT-STGCN,0.7,rand,4,2,linear,50,0.9760788679122924,334.3392872810364,LRGCN,
IT-STGCN,0.8,rand,4,2,linear,50,1.001126766204834,406.3517954349518,LRGCN,
STGCN,0.3,rand,4,2,linear,50,0.9684098362922668,205.73486971855164,LRGCN,
STGCN,0.5,rand,4,2,linear,50,0.9814910292625428,112.51260542869568,LRGCN,
STGCN,0.7,rand,4,2,linear,50,0.9996439218521118,216.07042145729065,LRGCN,
STGCN,0.8,rand,4,2,linear,50,1.0179499387741089,235.16308546066284,LRGCN,
IT-STGCN,0.3,rand,4,2,linear,50,1.0607929229736328,276.7127335071564,LRGCN,
IT-STGCN,0.5,rand,4,2,linear,50,0.9801384806632996,460.1316261291504,LRGCN,
IT-STGCN,0.7,rand,4,2,linear,50,0.97998708486557,296.4939844608307,LRGCN,
IT-STGCN,0.8,rand,4,2,linear,50,0.9741421937942504,452.8631465435028,LRGCN,
STGCN,0.3,rand,4,2,linear,50,0.9857193827629088,145.2793526649475,LRGCN,
STGCN,0.5,rand,4,2,linear,50,0.9591739177703856,172.19319653511047,LRGCN,
STGCN,0.7,rand,4,2,linear,50,0.9990728497505188,214.443772315979,LRGCN,
STGCN,0.8,rand,4,2,linear,50,1.0008260011672974,132.83181524276733,LRGCN,
