dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model
fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.398782730102539,134.7358705997467,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,1.9328707456588743,114.37865710258484,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.418742418289185,118.16048908233644,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,2.3921523094177246,115.31929659843443,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.6467905044555664,114.8974792957306,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.1194318532943726,139.12615323066711,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.1481168270111084,135.45114469528198,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.678580403327942,140.53977131843567,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.2338413000106812,144.9032871723175,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,1.7676597833633425,113.97617506980896,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.102255344390869,116.00768065452576,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,1.926334381103516,118.00754165649414,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.545428991317749,113.48716068267822,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.1139867305755615,137.30419754981995,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.1996045112609863,137.0765872001648,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.469067931175232,135.99977684020996,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.6072503328323364,139.0809464454651,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,1.872735381126404,117.40549826622008,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.187105655670166,115.32224035263062,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,2.0865402221679688,116.39257717132568,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.5774409770965576,125.61414527893066,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.0866035223007202,132.3844439983368,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.0771888494491575,134.88447451591492,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.2654109001159668,137.64713788032532,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.4250491857528689,139.03177881240845,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,1.6780531406402588,118.50086545944214,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.2827603816986084,121.4321587085724,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,2.029370307922364,119.8876473903656,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.707890033721924,115.40774631500244,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.115069031715393,143.9989402294159,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.0967087745666504,140.33027482032776,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.4146226644515991,134.98110508918762,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.4636399745941162,134.32552289962769,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,1.8022876977920528,113.68645000457764,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.396029233932495,112.45675802230836,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,2.393666505813598,112.5004541873932,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.6046996116638184,122.52891683578493,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.2074661254882812,145.63060569763184,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.1359615325927734,139.05245518684387,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.3911454677581787,141.34818983078003,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.4036990404129028,138.22430324554443,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,1.7949626445770264,113.8748106956482,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.2470955848693848,117.02155375480652,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,1.9283055067062376,115.8348424434662,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.520139455795288,114.18465042114258,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.193812370300293,136.58856630325317,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.185781717300415,141.85336208343506,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.2854734659194946,137.56375741958618,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.287605047225952,134.71887469291687,GConvGRU
